PLMN,SYSTEM,XCI,xNBID,LOCAL_CID,LAC/TAC,PCI/PSC/BSIC,ARFCN,BAND,RSSI,RSRP/RSCP,RSRQ/ECIO,SNR,CQI,TA,DISTANCE,DELTA_AZI,LAT,LON,ALTITUDE(m),SPEED,GPS_ACCURACY,UL,DL,BANDWIDTH,BANDWIDTHS,CA,NR_STATE,NARFCN,NR_BAND,NR_PCI,NR_SS_RSRP,NR_SS_RSRQ,NR_SS_SINR,NR_CSI_RSRP,NR_CSI_RSRQ,NR_CSI_SINR,CLF_LABEL,CLF_LOC,CLF_DESC,DATE,TIME,ROAMING
50502,4,20882737,81573,49,52009,15,9260,700 B28,-85,-84,-7,14,8,7.0,,,-33.863816,151.210813,40.0,3,17,1,0,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7512384259259259,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-81,-84,-7,15,9,7.0,,,-33.863792,151.210726,40.0,9,19,0,0,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7512731481481482,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-81,-84,-7,-10,14,7.0,,,-33.863753,151.210459,40.0,24,150,0,0,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7513078703703704,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-81,-84,-7,-10,14,7.0,,,-33.863726,151.210274,40.0,37,150,0,0,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7513194444444444,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-83,-83,-7,-9,11,7.0,,,-33.863609,151.209428,40.0,3,70,11,120,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7513773148148148,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-83,-83,-7,-9,11,7.0,,,-33.863623,151.209536,40.0,3,69,11,120,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7513773148148148,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-85,-82,-7,11,15,7.0,,,-33.86365,151.209717,40.0,3,68,5,182,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7513888888888889,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-85,-82,-7,11,15,7.0,,,-33.863668,151.209841,40.0,3,68,5,182,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7513888888888889,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-81,-82,-7,18,15,7.0,,,-33.863681,151.20993,40.0,3,68,1,57,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7514004629629629,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-81,-82,-7,18,15,7.0,,,-33.863691,151.210001,40.0,3,68,1,57,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7514120370370371,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-89,-83,-7,9,15,7.0,,,-33.863827,151.210648,40.0,2,12,0,34,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7514814814814815,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-85,-81,-8,9,9,7.0,,,-33.863805,151.210595,40.0,3,10,0,32,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7515856481481481,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-89,-83,-9,1,12,7.0,,,-33.863804,151.21053,40.0,3,13,0,33,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7516550925925926,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-77,-84,-7,13,14,7.0,,,-33.863828,151.21047,40.0,3,11,0,0,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7517476851851852,HOME
50502,4,20882737,81573,49,52009,15,9260,700 B28,-85,-82,-6,10,7,7.0,,,-33.863782,151.21049,40.0,4,9,0,0,,10202015,4,none,,,,,,,,,,--,--,Cell not found in the clf database!,45536,0.7518171296296297,HOME
